text,label
"Woods is doing what VJ asks him to do.  As a defensive coordinator, VJ played a lot of zone last year in Miami.  VJ learned under Marvin Lewis - that defense also plays a lot of zone and rarely blitzes.  Same philosophy now in Denver.  Wade used to bring the blitz (like he is doing with the Rams).  This team rarely blitzes and likes to play man.  That culture comes from up top and VJ.

VJ thought that playing both zone and man would make the defense unpredictable and better prepare the defense for the playoffs.  This team is not going to sniff the playoffs in a weak AFC.  The defense plain quit yesterday.  Maybe the change to Brock took the heart out of the team.  Either way, the fault lies with VJ.",0
"Jim Baker, it's really easy for those who don't have the caring about community and the initiative to get up   Out of the very lazy boys to criticize anyone who does! 
Armchair quarterbacking never won a football game..
 If some Alaskan sir carry enough about our state to make a living supporting their families AND  to be engaged in trying to build a better state by doing more than talking or posting, more power to them! Sometimes, ordinary Alaskans with good ideas and drive actually win battles… That's the difference between here and most of the lower 48.",0
"Freeland is also not permitted to enter Russia.

Not the best choice for Foreign Affairs.",0
"""One of the most severe outcomes of non-integration is the major increase in rapes in the EU…""

Well, how convenient. You make an outrageous bigoted claim and then say you can't provide the evidence because it's ""suppressed""? Your credibility = zero.",0
"I never thought I would say this, but great article by Mason. 

Canada has receded into a bunch of local interest groups instead of the country that considers the bigger picture. Quebec doesn't like this, Saskatchewan doesn't like that, BC doesn't like this. Too bad, it doesn't work like that when you are a nation. We all must accept tradeoffs.",0
Very odd that L.Glea never seems to comment but always seems to support certain posters...how many log ins does one need anyway?,0
"From the political perspective I find this situation hilarious. The democrats have spent years very successfully painting republicans as ""anti-women"". Now one of their very own, a large contributor and vocal supporter with a bully pulpit, is being accused by numerous women of sexual misconduct. It seems his personal friends and recipients, like Hillary, came down with cases of lock-jaw. What about that ""nasty woman"" Ashley Judd who waited 20 years, and only after achieving success, to now come out and accuse Weinstein. Hypocrites?",1
"Oh my heart BLEEDS and I WEEP for those poor, wretched EV owners with no place to charge!!!!

BOO HOO...cry cry....

SAD!",0
"While a self described liberal I have to agree with her on most of her points. However, the vast majority of the protests I have heard about have been peaceful and without violence. The BLM movement has legitimate grievances and followers are likely highly dismayed at rioters and looters, who are most definitely not helping their cause or their communities.",0
Bombardier deserves the sanctions as they are unfairly subsidized by government.    When it goes bankrupt Canada will do better.,0
Or you can just go to the Rez and buy it tax free and by the 200/baggie size.,0
I agree with you about the Giants defense. They were playing hard and in position to make good hard tackles on the running backs. But I can't really say they shut down the run. I'd say that was Joseph's doing by allowing McCoy to call 50 or whatever number of pass plays. There were some comments made earlier this morning about CJ and the Bronco linemen getting into a rhythm with coaches making changes to the blocking schemes to counter the defensive moves. We never saw any of that in my opinion. Big mistake and a real waste of talent by making the decision to feature Siemian trying to pass his way out of his funk. When CJ gets over 20 carries their odds to win increase too. Add Charles with his talent and then add Booker I think the Giants defenders would be the ones hurting. Why is McCoy continually putting the ball in Siemian's hand so much? I guess maybe Joseph feels he needs more game time practice so they can video tape all the plays he's blowing. Siemian's talent is play action.,0
"If he was an inanimate carbon rod I would vote for him over the Liberals.

Anyone But Liberals",0
"oldandshouldknowsomething, but doesnt.",0
There should have been additional charges just for that mustache..,0
"""It’s also possible that Mr. Trudeau could decide to shed some of his weaker ministers, such as Labour Minister MaryAnn Mihychuk, Veterans Affairs Minister Kent Hehr and Democratic Institutions Minister Maryam Monsef.""

Weak ministers?  Two are women?   Trudeau is so gender biased.",0
"Protests? Those were riots, even at the Mayor's house!",0
"Guest above offers a recipe for electoral failure and the NDP sinking back to 10 per cent support, like in the 1990s...",0
Sorry Cassy but the list wasn't given it was stolen.  I trust that even a Liberal can understand the difference.  I fully expect and hope that those who stole it are prosecuted as well as the NFA for accepting and possessing stolen property,0
It will be interesting to see a breakdown of the 415K they're spending this year.,0
"In 4 to 5 years from now the state will need yet another new prison. Another new multi million dollar prison that will be millions a year to operate. It makes you really wonder yes?, what will society be like in 20 or 30 years? Thugs run rampant in the streets, open warfare, anarchy. Its a frightening but all to real possibility. Even in once somewhat peaceful Anchorage there is a shooting pretty much every single day. Prisons, prosecution and policing will be the #1 industry in America. If we keep going down this path incarcerated people will outnumber working people. Billy Ray is right, its a cesspool.",0
"Westerners make up all sort of ""rules"" to prevent others from speaking their minds.",0
"Seems that the only people that can't get over it are the uneducated Trump voters who always have to have someone to hate.  Hillary lost.  You guys need to get over it.  It is fun , however,  watching your and Trump's heads exploding over a private citizen",0
"Yay! The Purge IV  ""Alaskan style"". I'll start with you Daniel. I looked out the window, saw a guy with a gun and shot him. It wasn't worth the risk to see who's side he was on.",0
"Geez, when does it end?  The do-gooder idiots are at it again. When I order something to drink at a restaurant I frequently see the waiter or waitress's hand on the top of the glass.  Gross.

First they remove salt and pepper shakers from tables, and now straws are a big deal.

I'll be sure to use one every time from now on.",1
Come on RG.  The only validation of the levy is that it reduced crime or at least some types of crime.  Come on RG.  You guys have the resources to look beyond the press releases from the sheriff and others whose jobs depend on renewal of the jail levy.  What affect did the large expansion of the jail have on crime???  It was argued that jail expansion would make us safer.  Did jail expansion make us safer??  We have multiple years of results.  We cannot make informed decisions on renewing the jail levy unless we know whether it had any effect on crime rates.  Did any crime rates drop?  We don't really care about releases unless they relate to increased crime.  We need the data.,0
